,Book_Name,Author,Rating,Score,Votes,Average_Rating
0,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,8668396,3772841,38386,4.34
1,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,3383818,3091718,31585,4.5
2,Pride and Prejudice,Jane Austen,4269914,2682061,27514,4.29
3,To Kill a Mockingbird,Harper Lee,6124177,2419158,24706,4.26
4,The Book Thief,Markus Zusak,2558002,1797728,18484,4.39
5,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,6578163,1668308,17003,3.65
6,Animal Farm,George Orwell,3884827,1547407,16035,3.99
7,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,133635,1480611,15361,4.61
8,"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,650934,1432186,14931,4.27
9,The Fault in Our Stars,John Green,5139392,1321431,13682,4.14
10,The Picture of Dorian Gray,Oscar Wilde,1535241,1210168,12652,4.12
11,The Giving Tree,Shel Silverstein,1126765,1167108,12087,4.38
12,Gone with the Wind,Margaret Mitchell,1207948,1160443,11964,4.31
13,Wuthering Heights,Emily Brontë,1805696,1158774,12099,3.89
14,The Perks of Being a Wallflower,Stephen Chbosky,1793846,1069361,11148,4.23
15,Jane Eyre,Charlotte Brontë,2094790,1046119,11001,4.15
16,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,3012530,1037749,10890,4.31
17,The Great Gatsby,F. Scott Fitzgerald,5239571,1007731,10746,3.93
18,The Little Prince,Antoine de Saint-Exupéry,2112046,1007220,10648,4.32
19,"The Da Vinci Code (Robert Langdon, #2)",Dan       Brown,2351883,980224,10302,3.91
20,Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,563745,951847,10037,4.06
21,Crime and Punishment,Fyodor Dostoevsky,904062,946677,9863,4.27
22,"Divergent (Divergent, #1)",Veronica Roth,3974929,937060,9829,4.14
23,Memoirs of a Geisha,Arthur Golden,2001137,936187,9753,4.15
